number,value,state,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves
0,0.12432390458729134,COMPLETE,0.6624074561769746,1,0.8394633936788146,0.6245760287469887,0.002570603566117596,0.060285631437218844,16,163,3.540362888980227,211
1,0.13797432631367454,COMPLETE,0.6727299868828402,1,0.6849356442713105,0.00052821153945323,7.71800699380605e-05,0.08483766803598276,16,643,1.4561457009902097,40
2,0.14645937154689487,COMPLETE,0.7824279936868144,6,0.7465447373174766,0.00042472707398058225,0.0021465011216654484,0.013505263874802744,5,439,0.23225206359998862,325
3,0.1541148787686865,COMPLETE,0.9862528132298237,6,0.9795542149013333,7.569183361880229e-08,0.01439120761572808,0.006238197136284725,6,644,2.2007624686980067,323
4,0.14528417289137144,COMPLETE,0.7035119926400067,5,0.9637281608315128,0.0004793052550782129,0.0008325158565947969,0.005620384401502775,10,658,0.9242722776276352,89
5,0.13090935245779495,COMPLETE,0.8391599915244341,7,0.9579309401710595,5.805581976088804e-07,2.5529693461039728e-08,0.1221023042245571,14,222,1.6266516538163218,498
6,0.13086230926338718,COMPLETE,0.7123738038749523,4,0.7427013306774357,0.16587190283399628,4.6876566400928895e-08,0.0837752617992515,7,324,4.9344346830025865,218
7,0.15835370471215424,COMPLETE,0.8827429375390469,5,0.9261845713819337,4.638759594322625e-08,1.683416412018213e-05,0.005094796489697568,6,1554,0.5793452976256486,403
8,0.14328641434883568,COMPLETE,0.7243929286862648,2,0.6254233401144095,0.005470376807480385,0.9658611176861261,0.015408008522234031,12,1473,2.3610746258097466,447
9,0.13636206627839914,COMPLETE,0.9083868719818244,3,0.8245108790277985,7.04480806377519e-05,1.6934490731313353e-08,0.06648777045369336,13,1069,0.5394571349665223,88
10,2561.762773253614,PRUNED,0.9630265895704372,1,0.8034282764658811,0.06308995924905786,1.1459970229341322e-06,0.01456504750774796,12,850,0.38489954914396496,46
11,0.14142399256669272,COMPLETE,0.8533615026041694,6,0.9232481518257668,4.776728196949707e-07,1.0790237065789305,0.11809898553903256,6,1617,2.6967112095782535,170
12,2551.5878872375665,PRUNED,0.6911740650167767,3,0.6440207698110707,0.5579242641506352,1.1549659339590204e-08,0.014746864720476923,15,1645,2.553736512887829,420
13,2729.122766809442,PRUNED,0.9771638815650077,2,0.7350460685614512,0.02124078827890453,1.873554890711046e-05,0.0075166734969205826,6,1062,4.858910413604804,232
14,2298.0810825890385,PRUNED,0.713936197750987,0,0.7203513239267079,0.0003342806277473177,2.906088000706637e-08,0.027131033728034864,7,1239,1.3932323211830573,494
15,2711.4430154470615,PRUNED,0.9942601816442402,1,0.7957811041110252,0.07154454696139184,1.3763785504379889e-06,0.008184596990212518,7,1361,3.641081743059298,468
16,1996.7160351688078,PRUNED,0.6361159080217633,6,0.8143098736299034,4.771628167351996e-07,2.3279640748356466e-08,0.04312908113460459,12,675,2.954464715941209,208
17,2307.963572516163,PRUNED,0.8580691161637799,1,0.6905983100791752,3.024252976134463e-05,2.6950690621944644,0.028536029490041928,4,1398,0.6876047207299663,357
18,1089.1952328948312,PRUNED,0.7031766510860622,5,0.9509357413523924,0.0009926755025313793,0.0005845951462609696,0.11610598360673814,5,1644,1.2092614545022584,195
19,0.14216603651150955,COMPLETE,0.7356119164194802,2,0.8532405829093072,1.1857478328321236,0.9633360624447911,0.10690466445111099,15,1466,3.899377729288119,75
20,0.1297989518001077,COMPLETE,0.727493881697731,4,0.7452989773699411,0.9912427146348364,5.031726373794901e-06,0.07968228232580615,9,202,4.117029343287847,284
21,2305.001922154216,PRUNED,0.6482049302982379,0,0.8542319691296733,0.7798730970156699,0.3025630327826162,0.02585302440340792,16,397,3.534060221881031,207
22,1722.4793761751782,PRUNED,0.7935189859886809,4,0.8008914545337578,0.04830756822252449,1.954725426402565e-07,0.06136466074905199,13,295,4.379766847016527,260
23,1080.2602400159037,PRUNED,0.7588530723054282,4,0.694916650941447,0.026348115423009327,7.306813857091063e-07,0.09601518224072209,6,706,4.076424812880014,247
24,0.12576927944501337,COMPLETE,0.6344827019022808,4,0.9255749600933884,0.023646435274414977,0.007929351618204527,0.07410559577568268,16,94,2.08720253556935,300
25,0.1232841991430069,COMPLETE,0.7445679032876682,4,0.9472383199652197,3.282484001797043,0.020757458522633266,0.08319031011701257,16,104,2.231918931008913,207
26,1634.956793694877,PRUNED,0.6738302200306737,4,0.9245394640966145,0.00019346360792780058,0.021130008460195273,0.06780359743161306,16,70,1.7315891664304552,377
27,0.13825717914338054,COMPLETE,0.6963034539212742,6,0.9674843009191906,2.55944172230426,0.012358766606849318,0.1036503124586488,15,455,2.979874241870717,259
28,1896.5999487861523,PRUNED,0.7601212268935512,3,0.8932301641127547,1.8296130461923492,0.005940679115761159,0.05034132556547334,11,445,1.9458912209965082,110
29,1869.3128505056623,PRUNED,0.745258574493139,4,0.9988626923038805,0.2944449368841971,0.5817985321663718,0.05119977071001072,15,116,0.003993636088271302,210
30,1659.9354296626234,PRUNED,0.6461862931458544,1,0.7921527639482572,0.01214270096115066,8.116822452212275e-06,0.06725217075383542,14,152,2.102021139892122,191
31,0.125909764390461,COMPLETE,0.8018787124867583,3,0.9324191705127944,1.4753329519708835,0.17214832592896492,0.08337354258658934,16,179,3.728393130831333,256
32,1548.3598816705219,PRUNED,0.811502661218449,2,0.9741691296539018,1.5135988345223315,0.29714460386337643,0.07777209373591654,15,161,4.546903429666034,214
33,1897.1419934397913,PRUNED,0.9270980267263593,2,0.8535200964954212,0.07162039757493957,1.5841746760670194,0.048620697332470465,15,539,1.9209283825828474,322
34,1949.1604222372266,PRUNED,0.6075480113652023,4,0.8110615119579729,0.03672830233165884,0.03900645003959728,0.046348711533873266,15,183,2.2031001054551314,147
35,0.13299851901499987,COMPLETE,0.6562874783052617,2,0.9700389596231478,0.03730484086278703,0.00013465467737663037,0.10812973835079318,15,361,3.2664768165743463,111
36,2239.722763030682,PRUNED,0.7175142860058665,4,0.8356722235355154,3.261067460778542,0.4001009940952496,0.028786191777303863,14,99,2.0334292517473886,351
37,0.13037490211127975,COMPLETE,0.8243820489696051,4,0.8567681566140973,0.5162055839194511,0.3261755496956335,0.13545492980546056,16,336,1.653304607385464,212
38,1718.4417533794453,PRUNED,0.7913862928826058,3,0.7952075499247339,0.05439453849203395,0.014053526842667613,0.06174666712208103,14,519,4.284010224281827,302
39,1721.4064602084986,PRUNED,0.7353850918976339,1,0.7124821002794648,0.18684958054503242,0.24135976898328557,0.0627699865375891,16,83,4.523844909790105,207
40,2135.1382995338226,PRUNED,0.692398644983375,2,0.8933426514412365,0.15090543799949505,0.0003808857112121965,0.034723217136931606,14,204,4.086331838064156,246
41,1585.2542124746026,PRUNED,0.7963142085507665,6,0.7960286492019277,0.00741743617679321,4.603024186755667e-05,0.077389583958608,7,196,2.3479946581543327,435
42,0.12982026956772544,COMPLETE,0.6990676115565357,4,0.8438231104333636,0.00556991028570197,0.004517180519964018,0.1320243540391955,9,131,4.1126438122197495,223
43,0.12992412934545222,COMPLETE,0.70928896896534,2,0.8160227619437148,7.848575249315911,1.4444907711471995e-06,0.12625425500435927,9,168,4.467015694769316,264
44,1571.662389203392,PRUNED,0.6358601260386169,4,0.749259701791225,4.006898540344889,1.7681623892103753e-05,0.08023622677629122,6,268,4.097792439111239,403
45,2175.376910204945,PRUNED,0.7350474222552739,3,0.6969965146614189,2.5410936341219963,0.00014022851742720717,0.03309043818284787,9,118,4.53531789983636,159
46,1886.8096783930123,PRUNED,0.8073543326032032,6,0.9357929041641903,1.3960022421656708,0.0013319324182526286,0.05009162074500602,16,114,1.7994733153394042,190
47,2027.2375491593118,PRUNED,0.8252343869300729,3,0.9102583261335705,0.10377019970349717,0.5455624115166312,0.0405309389615279,16,174,2.8253147673960073,276
48,0.1275321372642583,COMPLETE,0.7604627818775761,4,0.6144839439899116,2.823159150870834,1.7233719984205335e-05,0.09283485504209991,11,57,4.060652315106858,326
49,2169.5006982642176,PRUNED,0.8450478623607274,6,0.6082569472732372,1.811566255608957,0.003583929412184346,0.033080078416069914,11,137,4.685115841820167,394
50,0.12519756652665748,COMPLETE,0.8497485733563588,5,0.6100316777031128,3.519025719413746,3.5327434253482096e-07,0.11816290044698971,11,102,3.4854817075902593,400
51,1900.8568128666388,PRUNED,0.6732971279783142,3,0.6355507030785849,2.5830784594528393,0.0008940690730226331,0.048863498998291045,11,345,3.001971920437497,355
52,1682.3260175597572,PRUNED,0.8507267228410269,5,0.632207659271075,3.7672166711062323,8.609197066044052e-08,0.06574265574848881,9,273,2.5259563978713175,333
53,1013.4047156918646,PRUNED,0.7471860192276367,5,0.6755150520917623,0.16915657173859514,4.051728827751721e-05,0.11586237017414734,12,902,4.220847826011139,410
54,952.777156249141,PRUNED,0.8527203067700772,5,0.6533770029891257,0.6191275981089738,2.572333018634895e-08,0.08728335099772554,10,188,4.151028450649769,480
55,1773.8746916697987,PRUNED,0.7211366828017748,4,0.6103524542221355,0.38742376748340995,9.160197237464689e-07,0.05726284509915729,12,182,3.5811820922570075,395
56,0.130984497515124,COMPLETE,0.6755368770849668,4,0.8979850019449603,0.0016826532654188884,0.00034043912328980214,0.1049839902886106,16,271,2.6807759165976277,248
57,975.9506298435379,PRUNED,0.6212828817827155,0,0.8082161313283205,0.07766471770961773,0.08984805876321988,0.09393223645114636,13,803,2.692519099102734,327
58,1608.797927401421,PRUNED,0.6333093916951158,4,0.8678231460114698,0.41533583331908036,0.001263077521441719,0.07083684277938561,13,177,2.022412684125497,289
59,1002.9894537352419,PRUNED,0.925219764453112,6,0.6529425162871493,0.10966526549000473,2.02825030084886e-05,0.14901183206513097,8,356,3.824501132165203,372
60,0.1281015203343459,COMPLETE,0.7295674053190518,3,0.9749216069620712,4.845287469051268,0.0006975718972443473,0.09403973843413128,15,266,2.035011015415104,208
61,1797.7998883164662,PRUNED,0.7540695404969853,3,0.9442079516892504,2.680025919425164,4.4330659484776465e-05,0.05636007591913453,16,529,1.7562711597827017,212
62,1552.2845542705186,PRUNED,0.798986802184724,0,0.993006214148465,0.6105627250063007,0.00912497063127517,0.07754888416655357,12,81,1.7284002535367091,185
63,906.9931858556788,PRUNED,0.6290360428543829,1,0.9790666868949477,6.052817439046875,0.0011578249154680822,0.12683008814834815,16,454,2.4486326978976423,347
64,0.1286335467231004,COMPLETE,0.723976210125668,4,0.9912905926223208,1.9252786315356971,0.007028388017891197,0.11766785122310704,14,215,1.753906522780121,287
65,1522.33553695649,PRUNED,0.6494668708074133,1,0.818789094550513,3.3951641349149,0.0009929899738398815,0.07972059697971055,16,125,3.433067393572396,234
66,984.7591925660981,PRUNED,0.8667088451890482,6,0.6492251439257839,8.419189668420627,4.232607206029768e-06,0.10067737140670246,15,527,4.238305359887972,468
67,0.12847543821993027,COMPLETE,0.8820140264932143,4,0.9571044144922779,0.9823137863484397,0.21943045337247216,0.1408069005832503,12,138,4.207449928583028,338
68,1649.7261013666634,PRUNED,0.7539259789593138,4,0.6385141906468668,1.539602918896488,0.0004714666178485213,0.06772297538544544,14,353,4.681016161613144,310
69,1925.3238268292014,PRUNED,0.658926627162237,7,0.6586948817761868,8.924799471205766,7.958450978645793e-07,0.04763664000106111,12,98,4.0233227120109945,203
70,0.12687441686574058,COMPLETE,0.7324988012724556,4,0.6421102580961805,0.7151924903664626,6.996448162595823e-07,0.1355431861532847,11,72,4.22465143060241,368
71,0.12824163099450078,COMPLETE,0.6720054166353648,4,0.6408219651867496,0.37441716876904285,7.587404570785904e-08,0.1365959920416544,13,81,4.046049364371562,308
72,1412.4257500883205,PRUNED,0.7317774250900895,3,0.6175021229993075,9.381604518367617,5.642383469069837e-05,0.09380383661053583,10,337,4.5385308369785635,329
73,0.12491949364993926,COMPLETE,0.8759101793954976,5,0.6141240624998775,1.768568172099721,2.356710342598991e-06,0.10723092664467211,13,97,2.876815639376347,463
74,0.12950081476197256,COMPLETE,0.9414156435525352,5,0.7525829066979061,3.590089817082706,1.2084395239516396e-07,0.09799663127068424,15,227,2.1868280880228865,438
75,949.8047153533769,PRUNED,0.8325425731739446,4,0.6257140627408063,0.5832752283072415,2.8148283471810372e-05,0.1124559304238446,10,91,3.7835221662025185,200
76,1857.6605762442668,PRUNED,0.875985436035676,6,0.6034911446960217,0.037711469953633524,2.1964850711341736e-06,0.05182205191537264,13,168,3.507766210261802,425
77,1819.156265393462,PRUNED,0.8218294789674251,2,0.9282660898659958,1.3730636205454612,0.18425434858995532,0.05499681202798903,16,1074,3.9290363830287274,304
78,976.9880681614239,PRUNED,0.910876625860144,1,0.6294861375992589,0.019658356580535892,0.00013404171167425647,0.12315599799591788,12,623,2.381290500437327,438
79,0.12622514132878407,COMPLETE,0.8885645299261595,5,0.6026602647174053,5.527422217295674,8.96153469733386e-06,0.11541482083007323,14,227,2.006973990789338,324
80,1376.0623174638931,PRUNED,0.8425110169943835,4,0.701201369873927,0.7448095104843475,4.572973607512242e-06,0.09756334279484441,11,344,1.8682101163469693,445
81,2185.0074500062165,PRUNED,0.9746510095072913,5,0.6281694168575805,8.488177797612801,7.239728466268326e-05,0.03198066561846111,15,230,1.2708647255097132,326
82,981.6683270897518,PRUNED,0.8337221732620248,6,0.6150489703575337,0.5301156249559079,1.4397273617660529e-08,0.13193781406035526,12,459,2.6238330105990237,361
83,1531.8731817011578,PRUNED,0.9275323578259635,4,0.6594472517855691,0.1294199992985607,5.391592564781896e-06,0.07965072874962244,16,118,2.458900638664269,214
84,0.13072824468502842,COMPLETE,0.922376017452695,7,0.6894808727392232,0.21473864889570474,8.878013577461479e-05,0.11281221190446668,16,481,1.7991327614557524,370
85,0.12561469942962475,COMPLETE,0.8592888110977349,5,0.6181169419577119,0.06048569882959594,7.360956856230305e-06,0.09829440180361979,13,145,2.672611301389262,440
86,0.12907260025364473,COMPLETE,0.7702117152111874,3,0.9155228887330276,0.5791621706769565,0.0691397427444988,0.10622000903275705,14,285,3.1776024277402195,288
87,0.12634928171508472,COMPLETE,0.8730737314241965,4,0.6015572415082733,2.262808182597055,4.905982652310688e-07,0.14944106001241647,13,64,0.6625701832634145,329
88,0.1258780878607742,COMPLETE,0.8345932151134393,3,0.677339787857455,4.457462258223903,3.7908027258851316e-07,0.10176052147529709,12,189,0.08276777215391073,342
89,1007.0116383195331,PRUNED,0.7461833163997939,2,0.7499692959379074,1.9934069731454365,1.267255398044052e-05,0.13899635244818112,10,639,0.5440020364543526,364
90,1948.2483204056691,PRUNED,0.842164997476289,1,0.667735012673431,0.030575561453965706,3.077474945860476e-08,0.04542619824688387,11,173,0.30178744288233605,489
91,0.12471609744941282,COMPLETE,0.882319535439581,6,0.624561212526849,4.486678743556732,5.497271121762256e-07,0.10538395938842463,15,90,0.337220751419015,222
92,0.12992558188431447,COMPLETE,0.7094993692218126,5,0.6654669936167694,9.02537297290249,0.000708404943054184,0.13539400045425243,16,150,2.2939495115146458,378
93,1554.1259587839252,PRUNED,0.805714837715202,3,0.7540891247338202,5.392179497770985,2.2537123819004558e-07,0.07929174636305532,8,121,0.0011501074857574178,351
94,2114.6475151581617,PRUNED,0.9421820793079079,7,0.6966645896545387,1.9600709719043183,6.7935596066995e-08,0.035951390721964065,10,243,0.4638727374676613,324
95,972.1280715185183,PRUNED,0.8805691360585746,6,0.669470045204495,5.057150667272419,1.2360591915344552e-07,0.11563608556919759,16,279,0.3132421485089246,238
96,0.12733269948232936,COMPLETE,0.860004389093847,6,0.6705930589059728,0.32298519585940866,1.0401579609343228e-05,0.11413001935806916,12,80,2.701460772437659,395
97,1017.1667282722021,PRUNED,0.9689628715681784,3,0.7217867311700137,0.5556562944495818,4.661421270471075e-08,0.12387535549090545,12,761,0.0515366518269533,402
98,1818.1956968647369,PRUNED,0.8548268530863056,4,0.6565868910322339,0.3062147792043335,3.203763008060642e-06,0.05390503903267381,16,181,2.3832838013613777,452
